_id,GEOID,SidewalkStepLFt,StreetLFt,Ratio
1,42003010300,78448.71321,74592.98738,1.051690192
2,42003020100,170043.9682,103496.1339,1.642998262
3,42003020300,92663.56238,107882.6817,0.858928986
4,42003030500,63741.19798,36574.8806,1.742758881
5,42003040200,46788.76395,31603.32982,1.480501081
6,42003040400,19004.02306,16200.64185,1.173041367
7,42003040500,47219.30553,30435.941,1.551432418
8,42003040600,18617.17048,13175.77977,1.41298434
9,42003040900,57090.19372,48943.60501,1.166448481
10,42003050100,74177.7719,57817.55363,1.282962824
11,42003050600,61390.27652,44971.15468,1.365103408
12,42003050900,34060.43485,5125.794855,6.644907924
13,42003051000,43118.82257,16923.27312,2.547900886
14,42003051100,21923.74413,7265.428071,3.017543346
15,42003060300,70537.31792,48005.88706,1.469347246
16,42003060500,39675.96756,29214.51168,1.358091075
17,42003070300,40397.6602,27763.93796,1.455040717
18,42003070500,41450.30982,21874.9589,1.894874867
19,42003070600,29791.25866,19485.84104,1.528866966
20,42003070800,42965.28333,20162.82866,2.130915461
21,42003070900,55752.65244,32125.71157,1.735452686
22,42003080200,24426.01304,18606.73604,1.312751091
23,42003080400,35289.18343,21483.46708,1.6426205
24,42003080600,35933.60203,20413.4636,1.760289323
25,42003080700,28444.83643,16757.09216,1.697480456
26,42003080900,38603.78731,17756.64217,2.174047714
27,42003090100,50888.31723,23840.7897,2.134506359
28,42003090200,47318.33693,25814.34535,1.833024866
29,42003090300,28437.33912,14484.97908,1.963229561
30,42003100500,47137.36698,33317.33454,1.414800062
31,42003101100,50253.1781,47456.38142,1.058934048
32,42003101400,64369.38145,47611.38149,1.351974663
33,42003101600,34107.58914,21570.63489,1.581204694
34,42003101700,36002.75882,20304.60796,1.773132429
35,42003101800,52838.78716,38662.61863,1.366663434
36,42003110200,70816.92257,42107.96254,1.681794091
37,42003110600,55500.76179,43146.58646,1.286330307
38,42003111300,43578.31493,28468.37595,1.53076224
39,42003111400,28209.83224,14644.89341,1.92625726
40,42003111500,103347.8275,55157.63062,1.873681416
41,42003120300,44575.71401,51007.11378,0.87391171
42,42003120400,38013.94373,22290.87406,1.705359046
43,42003120700,35565.9512,25769.61412,1.380150709
44,42003120800,58309.53547,27154.43655,2.147329971
45,42003130100,54187.27224,42627.04648,1.271194622
46,42003130200,36518.67843,18351.27817,1.989980104
47,42003130300,50928.09642,30007.58785,1.697173951
48,42003130400,43564.99232,28826.12009,1.511302672
49,42003130600,66956.66366,67210.14134,0.99622858
50,42003140100,96859.30623,58764.09876,1.648273491
51,42003140200,44151.86756,24978.92855,1.767564508
52,42003140300,73449.77028,43322.98786,1.695399461
53,42003140400,57691.17369,34614.65326,1.66666912
54,42003140500,51109.05636,26430.76696,1.933695546
55,42003140600,61014.75261,45178.26618,1.350533293
56,42003140800,81600.46523,58986.68171,1.383371006
57,42003141000,27849.64228,26156.7852,1.064719615
58,42003141100,31640.97529,27573.14865,1.14752855
59,42003141300,58005.8076,33570.33988,1.727888601
60,42003141400,112801.8734,79919.50717,1.411443556
61,42003151600,54814.8731,40658.34827,1.348182487
62,42003151700,89344.60179,62596.96621,1.427299232
63,42003160800,63753.75299,60250.55586,1.058143814
64,42003160900,91428.47367,56662.19925,1.613570862
65,42003170200,106907.2904,55235.18906,1.935492432
66,42003170600,50240.75354,46127.46495,1.089172223
67,42003180300,67846.47013,54087.13526,1.254392007
68,42003180700,40212.43294,28092.02574,1.431453656
69,42003190300,54567.45052,44641.17349,1.222356991
70,42003191100,52914.88548,61502.27796,0.860372774
71,42003191400,59140.22571,47760.50295,1.238266393
72,42003191500,46814.56166,41191.52452,1.136509566
73,42003191600,87664.82776,90859.8443,0.964835769
74,42003191700,72479.39212,60356.27842,1.200859198
75,42003191800,106030.5851,83791.61135,1.265408117
76,42003191900,47749.50653,32167.17801,1.48441702
77,42003192000,75259.17184,64351.89637,1.169494235
78,42003202200,59320.53588,59628.02565,0.994843201
79,42003202300,34934.68706,93150.63236,0.375034352
80,42003210700,64262.0719,60004.50004,1.070954209
81,42003220600,40529.14184,32139.64016,1.261032844
82,42003240600,75384.62193,83001.52159,0.908231807
83,42003241200,29588.6103,30032.27364,0.985227115
84,42003250300,25935.67313,18440.79786,1.406429013
85,42003250700,30454.98342,25236.97796,1.206760313
86,42003250900,35902.65745,35993.04217,0.997488828
87,42003260200,54038.9546,63882.43078,0.845912623
88,42003260700,41667.83705,30591.83794,1.362057328
89,42003260900,58729.59554,21650.72255,2.712592866
90,42003261200,8352.955184,32732.39614,0.255189237
91,42003261400,75508.70373,60032.52824,1.257796497
92,42003261500,37859.60101,33692.11167,1.123693326
93,42003262000,50345.48599,61431.73938,0.819535415
94,42003270100,71708.73565,53298.10988,1.345427367
95,42003270300,49183.03919,42311.03869,1.162416256
96,42003270400,26492.24034,21383.21699,1.238926788
97,42003270800,60395.17336,48387.29994,1.248161675
98,42003271500,75120.90955,64632.99067,1.162268816
99,42003281400,45983.37703,44700.02097,1.028710413
100,42003281500,28175.58993,31128.72688,0.905131458
101,42003290100,44199.50943,53129.06431,0.831927119
102,42003290200,79435.3549,65268.57601,1.217053592
103,42003290400,90586.0615,75897.87851,1.193525607
104,42003300100,76057.96912,50379.78468,1.509692223
105,42003310200,20389.00739,96125.50497,0.212108195
106,42003310300,1890.155427,39824.97614,0.047461558
107,42003320400,37198.03854,34768.43179,1.069879676
108,42003320600,36358.20183,50878.25247,0.714611844
109,42003320700,19117.47364,48658.07721,0.392894145
110,42003401100,41297.18685,247635.9407,0.166765724
111,42003401200,98192.13055,105193.4054,0.933443786
112,42003401300,63051.77729,85622.32857,0.736394097
113,42003402000,72255.88742,72851.19115,0.991828497
114,42003403500,120012.9411,126768.0034,0.946713192
115,42003404000,35147.06377,94732.31874,0.371014499
116,42003405000,15221.52628,226785.6859,0.067118549
117,42003406000,1009.16121,250181.8974,0.00403371
118,42003407001,30292.45253,374859.0254,0.080810253
119,42003407002,25764.05768,307851.1077,0.083689995
120,42003408001,67273.74611,297478.432,0.226146634
121,42003408002,70966.62776,211655.6962,0.335292785
122,42003409000,557590.7323,672112.6735,0.829609014
123,42003410000,2612.9005,64203.97606,0.040696864
124,42003411000,272977.502,512651.1903,0.532481943
125,42003412001,264419.7317,310291.72,0.852164962
126,42003412002,152762.4461,206873.334,0.738434689
127,42003413100,173141.9357,301165.2468,0.574906758
128,42003413201,8009.885873,127952.8615,0.062600287
129,42003413202,23938.71872,76934.48722,0.311157188
130,42003413300,62561.97255,159052.4047,0.393341884
131,42003413400,41119.21998,121424.3582,0.33864062
132,42003413500,90395.63213,171128.9405,0.528231121
133,42003414101,19259.01073,172140.5868,0.111879546
134,42003414102,36043.36996,281727.4673,0.127937011
135,42003414200,16222.6721,251817.2722,0.064422396
136,42003415001,12518.58183,286855.5909,0.043640711
137,42003415002,7904.782525,163542.5581,0.048334712
138,42003416000,6700.779747,77493.86739,0.086468516
139,42003417100,71238.17096,55873.0307,1.275001017
140,42003417200,50988.83285,44098.76954,1.156241623
141,42003418000,38922.48672,50008.80544,0.778312667
142,42003419000,33735.8973,214700.6579,0.157129921
143,42003420000,25609.41619,33737.07837,0.759088144
144,42003421100,67956.1251,210909.5033,0.322205136
145,42003421200,6487.305056,187639.5798,0.034573223
146,42003422000,5880.623247,324561.8761,0.018118651
147,42003423000,59048.28087,58640.37158,1.006956117
148,42003424000,80191.76335,76155.63136,1.052998471
149,42003425000,71752.8387,88285.25488,0.812738648
150,42003426300,6377.142253,159095.6902,0.04008369
151,42003426400,9065.384562,121891.7832,0.074372401
152,42003426700,4673.994554,75073.94729,0.062258543
153,42003426800,1912.299824,127397.1991,0.015010533
154,42003427000,62899.4591,74707.61651,0.841941719
155,42003427100,4272.216886,151704.2134,0.028161491
156,42003427200,11370.75836,133730.8237,0.085027206
157,42003428100,4336.702448,30673.07178,0.14138468
158,42003428200,1585.594233,59576.64677,0.026614358
159,42003429100,12847.38689,121411.7609,0.105816659
160,42003429201,24700.30011,130831.7048,0.188794453
161,42003429202,14450.38112,125470.9691,0.11516912
162,42003429300,27203.07725,164240.4397,0.165629593
163,42003429400,25681.30104,135706.8726,0.189240976
164,42003429500,30229.21595,81794.23782,0.369576351
165,42003429600,21414.89797,85633.29045,0.250076785
166,42003429700,9556.296449,62094.8007,0.153898496
167,42003430100,32322.9889,42722.56677,0.756578814
168,42003430200,80616.54161,92667.70416,0.869952939
169,42003431100,58138.39701,51019.40037,1.13953509
170,42003431400,34981.74891,30263.54367,1.155903925
171,42003431500,72578.76061,48781.53841,1.487832549
172,42003432300,38923.54623,35579.50685,1.093987795
173,42003432400,60176.07124,38462.87365,1.56452354
174,42003434000,56729.40447,44844.79654,1.265016431
175,42003435000,51635.78578,70771.00752,0.729617785
176,42003437000,101690.689,257748.7587,0.394534156
177,42003439000,2610.489701,139225.0726,0.018750141
178,42003445500,145622.6461,101451.4695,1.435392181
179,42003446000,66491.95665,78623.65013,0.845699183
180,42003447000,20577.18953,46059.76411,0.446749781
181,42003448000,32520.43655,75549.54908,0.430451762
182,42003449000,14643.09271,98937.48725,0.148003483
183,42003450700,79233.1105,79393.08052,0.997985089
184,42003450800,69922.90355,49008.82949,1.426740942
185,42003451101,73302.04274,126321.3085,0.580282485
186,42003451102,85478.68824,103935.1363,0.8224234
187,42003451104,108567.2407,99066.96378,1.095897528
188,42003451105,79803.07805,120079.4909,0.664585413
189,42003451300,152166.7623,349092.0952,0.43589289
190,42003452000,181504.7135,643169.2859,0.28220364
191,42003453003,23550.51763,155955.0917,0.151008328
192,42003453004,75462.76214,143059.3343,0.527492753
193,42003455000,19719.97072,43050.16871,0.458069534
194,42003456001,44979.57329,255919.9539,0.175756414
195,42003456003,77427.78762,312805.7537,0.247526737
196,42003456004,22234.58085,124200.6967,0.179021386
197,42003457100,25237.05226,41656.39144,0.605838657
198,42003457200,40556.90432,92062.23117,0.440537925
199,42003458000,118720.261,442266.6126,0.268435956
200,42003459101,10646.69285,78179.18595,0.136183215
201,42003459102,76806.02356,166627.1197,0.460945515
202,42003459201,149212.4427,320911.0296,0.464965143
203,42003459202,13398.34054,7223.382058,1.854856968
204,42003460001,18223.23209,124803.2241,0.146015716
205,42003460002,28289.72999,118206.0269,0.239325614
206,42003461000,28446.73488,79136.6407,0.359463513
